VarName	VarUnit	VarPrefix	ProductDir	VarMissing	VarNoCoverage	VarScale	w2Name	w2Unit	w2Missing	w2NoCoverage

#3D Reflectivity
mosaicked_refl	dbz	MREF3D33L	mrefl	-99	-999	10	MergedReflectivityQC	dBZ	-99900	-99903
mosaicked_refl	dbz	MREF3D33L	mrefl	-99	-999	10	MergedReflectivityDPQC	dBZ	-99900	-99903
mosaicked_refl	dbz	MREF3D33L	mrawrefl	-99	-999	10	MergedRawReflectivity	dBZ	-99900	-99903
mosaicked_refl	dbz	MREF3D33L	mrefqcl	-99	-999	10	MergedRefQCL	dBZ	-99900	-99903
mosaicked_rhohv	none	MRHOHV3D33L	mrhohv	-99	-100	100	MergedRhoHV		none	-99900	-99903
mosaicked_rhohv	none	MRHOHV3D33L	mrawrhohv	-99	-100	100	MergedRawRhoHV		none	-99900	-99903
mosaicked_rhohv	none	MRHOHV3D33L	mrhohv	-99	-100	100	MergedRhoHVDPQC		none	-99900	-99903
mosaicked_zdr	db	MZDR3D33L	mzdr	-99	-999	10	MergedZdr		dB	-99900	-99903
mosaicked_zdr	db	MZDR3D33L	mrawzdr	-99	-999	10	MergedRawZdr		dB	-99900	-99903
mosaicked_zdr	db	MZDR3D33L	mzdr	-99	-999	10	MergedZdrDPQC		dB	-99900	-99903
mosaicked_spw	m/sec	MSPW3D33L	mspw	-99	-999	10	MergedSPW		MetersPerSecond	-99900	-99903
mosaicked_spw	m/sec	MSPW3D33L	mrawspw	-99	-999	10	MergedRawSPW		MetersPerSecond	-99900	-99903
mosaicked_spw	m/sec	MSPW3D33L	mspw	-99	-999	10	MergedSPWDPQC		MetersPerSecond	-99900	-99903
mosaicked_kdp	degrees	MKDP3D33L	mkdp	-20	-30	1000	MergedKdp		degrees	-99900	-99903
mosaicked_kdp	degrees	MKDP3D33L	mrawkdp	-20	-30	1000	MergedRawKdp		degrees	-99900	-99903
mosaicked_kdp	degrees	MKDP3D33L	mkdp	-20	-30	1000	MergedKdpDPQC		degrees	-99900	-99903
