KPHX        Phoenix     33.421     -112.163     332       TDWR   9999  72274  TWC
KABR       Aberdeen     45.4558    -98.4131     416     WSR-88D  2885  72659  ABR
KABX       Albuquer     35.1497   -106.8239    1809     WSR-88D	 2890  72365  ABQ
KAKQ        Wakefld     36.9839    -77.0072      59     WSR-88D	 2865  72402  WAL
KAMA       Amarillo     35.2333   -101.7092    1113     WSR-88D	 2895  72363  AMA
KAMX          Miami     25.6111    -80.4128      29     WSR-88D	 2895  72202  MFL
KAPX         Alpena     44.9072    -84.7197     471     WSR-88D	 2880  72634  APX
KARX       LaCrosse     43.8228    -91.1911     409     WSR-88D	 2770  72649  MPX
KATX        Seattle     48.1944   -122.4958     181     WSR-88D	 2740  72797  UIL
KBBX       BealeAFB     39.4961   -121.6317      61     WSR-88D	 2725  72489  REV
KBGM       Binghmtn     42.1997    -75.9847     514     WSR-88D	 2885  72518  ALY
KBHX         Eureka     40.4983   -124.2919     762     WSR-88D	 2890  72597  MFR
KBIS        Bismark     46.7708   -100.7606     530     WSR-88D	 2705  72764  BIS
KBIX        Keesler     30.5239    -88.9847      62     WSR-88D  9999  72233  SIL
KBLX       Billings     45.8539   -108.6067    1112     WSR-88D	 2995  72776  TFX
KBMX       Birmnghm     33.1722    -86.7697     227     WSR-88D	 2740  72230  BMX
KBOX         Boston     41.9558    -71.1369      66     WSR-88D	 2890  74494  CHH
KBRO       Brwnsvil     25.9161    -97.4189      22     WSR-88D	 2802  72250  BRO
KBUF        Buffalo     42.9489    -78.7367     236     WSR-88D	 2993  72528  BUF
KBYX        KeyWest     24.5975    -81.7030      23     WSR-88D	 2705  72201  EYW
KCAE       Columbia     33.9486    -81.1183     100     WSR-88D	 2890  72208  CHS
KCBW        Caribou     46.0392    -67.8064     262     WSR-88D	 2720  72712  CAR
KCBX          Boise     43.4906   -116.2355     953     WSR-88D	 2740  72681  BOI
KCCX       StateCol     40.9231    -78.0036     753     WSR-88D	 2875  72520  PIT
KCLE       Clevelnd     41.4131    -81.8597     257     WSR-88D	 2875  72520  PIT
KCLX        CharlSC     32.6556    -81.0422      58     WSR-88D	 2810  72208  CHS
KCRP       CorpusCr     27.7842    -97.5111      43     WSR-88D	 2810  72251  CRP
KCXX       Burlngtn     44.5111    -73.1669     121     WSR-88D	 2890  72518  ALY
